type,authors,publication_year,data_collection_period,species,old_region,region,specific_location,n,sample_type,chemical,mean_concentration,concentration_units,mean_concentration_standardized,concentration_units_standardized,tissue,notes,doi_or_link,sex,fa_class
contaminant,Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,4,Composite,PBDEs,1.55,ng/g ww,0.00155,mg/kg ww,Fillet,"Lower Fraser River, Thompson River population; back calculated concentration from ng/g lipid concentration using % lipid provided in paper; sum of 48 congeners: 2-BDE-1, 3-BDE-2, 4-BDE-3, 26-BDE-10, 24-BDE-7, 24'/33'-BDE-8/11, 34-BDE-12, 34'-BDE-13, 44'-BDE-15, 246-BDE-30, 24'6-BDE-32, 22'4-BDE-17, 23'4-BDE-25, 244'/2'34-BDE-28/33, 33'4-BDE-35, 344'-BDE-37, 244'6-BDE-75, 22'45'-BDE-49, 23'4'6-BDE-71, 22'44'-BDE-47, 23'44'-BDE-66, 33'44'-BDE-77, 22'44'6-BDE-100, 23'44'6-BDE-119, 22'44'5-BDE-99, 23456-BDE-116, 22'44'5-BDE-85, 233'44'-BDE-105#, 33'44'5-BDE-126, 22'44'66'-BDE-155,22'44'56'-BDE-154, 22'44'55'-BDE-153, 22'344'6'-BDE-140, 22'344'5'/2344'56-BDE-138/166, 22'344'5'6-BDE-183, 22'344'56-BDE-181, 256/22'6-BDE-190/171, 22'455'-BDE-101, 23'44'5-BDE-118, 22'33'455'66'-BDE-208, 22'33'44'566'-BDE-207, 22'33'44'55'6-BDE-206,22'344'6-BDE-139, (33'44')25/55'-BDE-156/169, 22'344'66'-BDE-184, 233'44'5'6-BDE-191, 22'344'55'-BDE-180, 22'33'44'55'66'-BDE-209",10.1002/etc.410,NA,NA
contaminant,Lockhart et al.,2005,1970s-2000s,Chinook,Canada,BC/WC,Northern Lakes/Rivers,1,Individual,Hg,0.09,mg/kg ww,0.09,mg/kg ww,Fillet,NA,10.1016/j.scitotenv.2004.11.027,NA,NA
contaminant,Lockhart et al.,2005,1970s-2000s,Chum,Canada,BC/WC,Northern Lakes/Rivers,8,Individual,Hg,0.067,mg/kg ww,0.067,mg/kg ww,Fillet,NA,10.1016/j.scitotenv.2004.11.027,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Alaska,Bering Sea,Aleutian Islands,3,Varies by study,PCBs,5,ng/g ww,0.005,mg/kg ww,Fillet+Skin,from Shaw et al. (2008),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,BC North Coast,30,Varies by study,PCBs,7.3,ng/g ww,0.0073,mg/kg ww,Whole Body,Skeena Population from O'Neill et al (2006),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Alaska,AK,unknown,2,Varies by study,PCBs,5.6,ng/g ww,0.0056,mg/kg ww,Fillet,from Hayward et al. (2010),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,7,Varies by study,PCBs,8.6,ng/g ww,0.0086,mg/kg ww,Fillet,Thompson Population from Veldhoen et al. (2010),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,6,Varies by study,PCBs,9.1,ng/g ww,0.0091,mg/kg ww,Fillet,Thompson Population from Cullon et al. (2009),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Alaska,Central AK,South Central,10,Varies by study,PCBs,9.1,ng/g ww,0.0091,mg/kg ww,Fillet,River population from Rice and Moles (2006),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,2,Varies by study,PCBs,9.8,ng/g ww,0.0098,mg/kg ww,Fillet,Shuswap population from Veldhoen et al. (2010),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,British Columbia,BC/WC,West Coast VI,2,Varies by study,PCBs,1.5,ng/g ww,0.0015,mg/kg ww,Fillet,Great Central Lake from (deBruyn et al. (2004)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,British Columbia,BC/WC,West Coast VI,3,Varies by study,PCBs,1.6,ng/g ww,0.0016,mg/kg ww,Fillet,Great Central Lake from (deBruyn et al. (2004)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,British Columbia,BC/WC,West Coast VI,6,Varies by study,PCBs,1.7,ng/g ww,0.0017,mg/kg ww,Fillet,Great Central Lake from (Kelly et al. (2007)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Coho,Alaska,AK,unknown,2,Varies by study,PCBs,1.6,ng/g ww,0.0016,mg/kg ww,Fillet,from Hayward et al (2009),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,British Columbia,BC/WC,West Coast VI,3,Varies by study,PCBs,2.4,ng/g ww,0.0024,mg/kg ww,Fillet,Great Central Lake from (deBruyn et al. (2004)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,British Columbia,BC/WC,Fraser River,2,Varies by study,PCBs,3.6,ng/g ww,0.0036,mg/kg ww,Fillet,Population: Weaver Creek from (Kelly et al. (2007)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,British Columbia,BC/WC,Fraser River,5,Varies by study,PCBs,3.9,ng/g ww,0.0039,mg/kg ww,Fillet,Population: Early Stuart from (Kelly et al. (2007)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,British Columbia,BC/WC,Fraser River,1,Varies by study,PCBs,4,ng/g ww,0.004,mg/kg ww,Fillet,Population: Weaver Creek from (Kelly et al. (2007)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,British Columbia,BC/WC,Fraser River,2,Varies by study,PCBs,5.3,ng/g ww,0.0053,mg/kg ww,Fillet,Population:Weaver Creek from (Kelly et al. (2007)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,British Columbia,BC/WC,Fraser River,3,Varies by study,PCBs,6.8,ng/g ww,0.0068,mg/kg ww,Fillet,Population; Weaver Creek from (Kelly et al. (2007)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,British Columbia,BC/WC,Fraser River,8,Varies by study,PCBs,6.8,ng/g ww,0.0068,mg/kg ww,Fillet,Population: Weaver Creek from (Veldhoen et al (2010)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,British Columbia,BC/WC,Fraser River,6,Varies by study,PCBs,6.9,ng/g ww,0.0069,mg/kg ww,Fillet,Population: Early Stuart from (Kelly et al. (2007)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,British Columbia,BC/WC,Fraser River,5,Varies by study,PCBs,7.7,ng/g ww,0.0077,mg/kg ww,Fillet,Population: Adams from (Veldhoen et al (2010)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,3,Varies by study,PCBs,10,ng/g ww,0.01,mg/kg ww,Fillet,Clackamas River from (Stone (2006)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,Alaska,AK,unknown,2,Varies by study,PCBs,3.6,ng/g ww,0.0036,mg/kg ww,Fillet,from Hayward et al. (2007),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,3,Varies by study,PCBs,13,ng/g ww,0.013,mg/kg ww,Fillet+Skin,Clackamas River from (Stone (2006)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,4,Varies by study,PCBs,15,ng/g ww,0.015,mg/kg ww,Whole Body,Fall chinook from (Stone (2006)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,WA Coast,10,Varies by study,PCBs,16,ng/g ww,0.016,mg/kg ww,Fillet,Population: Quinault from (Missildine et all (2005)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,17,Varies by study,PCBs,18,ng/g ww,0.018,mg/kg ww,Whole Body,from O'Neill et all (2006),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,WA Coast,10,Varies by study,PCBs,19,ng/g ww,0.019,mg/kg ww,Fillet,Population: Makah from (Missildine et all (2005)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Puget Sound,3,Varies by study,PCBs,35,ng/g ww,0.035,mg/kg ww,Whole Body,Duwamish River from Cullon et al. (2009),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,20,Varies by study,PCBs,33,ng/g ww,0.033,mg/kg ww,Whole Body,from O'Neill et all (2006),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Puget Sound,10,Varies by study,PCBs,49,ng/g ww,0.049,mg/kg ww,Fillet,Deschutes River from Missildine et al. (2005),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,15,Varies by study,PCBs,37,ng/g ww,0.037,mg/kg ww,Fillet+Skin,mixed fall chinook from EPA 2002,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Puget Sound,10,Varies by study,PCBs,49,ng/g ww,0.049,mg/kg ww,Fillet,Issaquah Creek from Missildine et al. (2005),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,24,Varies by study,PCBs,38,ng/g ww,0.038,mg/kg ww,Fillet+Skin,mixed spring chinook from EPA 2002,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,Alaska,Bering Sea,Gulf of Alaska/ Bering Sea,97,Varies by study,PCBs,37,ng/g ww,0.037,mg/kg ww,Fillet,population: Copper River from (Ewald et al. (1998)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Coho,Oregon,BC/WC,Columbia River,3,Varies by study,PCBs,35,ng/g ww,0.035,mg/kg ww,Fillet+Skin,Population: Umatilla River from (EPA 2002),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Puget Sound,34,Varies by study,PCBs,91,ng/g ww,0.091,mg/kg ww,Whole Body,Population: Pudget Sound Mixed from (O'Neill et al (2006)),10.1897/08-125.1,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Coho,Washington,BC/WC,Puget Sound,125,Varies by study,PCBs,27,ng/g ww,0.027,mg/kg ww,Fillet,Population: Pudget sound mixed from (O'Neill et al (1998)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Coho,Washington,BC/WC,Puget Sound,32,Varies by study,PCBs,35,ng/g ww,0.035,mg/kg ww,Fillet,from O'Neill et al (1998),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,Alaska,Bering Sea,Aleutian Islands,13,Varies by study,PCBs,130,ng/g ww,0.13,mg/kg ww,Fillet,from Hardell et al. (2010),10.1897/08-125.1,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Pudget Sound,34,Varies by study,DDTs,16.4,ng/g ww,0.0164,mg/kg ww,Whole Body,Population: Pudget Sound Mixed from (O'Neill et al (2006)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,17,Varies by study,DDTs,19.9,ng/g ww,0.0199,mg/kg ww,Whole Body,from O'Neill et all (2006),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,20,Varies by study,DDTs,34.8,ng/g ww,0.0348,mg/kg ww,Whole Body,from O'Neill et all (2006),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,15,Varies by study,DDTs,21,ng/g ww,0.021,mg/kg ww,Fillet+Skin,mixed fall chinook from EPA 2002,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,24,Varies by study,DDTs,22,ng/g ww,0.022,mg/kg ww,Fillet+Skin,mixed spring chinook from EPA 2002,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,Alaska,Bering Sea,Aleutian Islands,13,Varies by study,DDTs,6.9,ng/g ww,0.0069,mg/kg ww,Fillet,from Hardell et al. (2010),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,Alaska,Bering Sea,Gulf of Alaska/ Bering Sea,97,Varies by study,DDTs,12.2,ng/g ww,0.0122,mg/kg ww,Fillet,population: Copper River from (Ewald et al. (1998)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Puget Sound,3,Varies by study,DDTs,18.3,ng/g ww,0.0183,mg/kg ww,Whole Body,Duwamish River from Cullon et al. (2009),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Coho,Oregon,BC/WC,Columbia River,3,Varies by study,DDTs,41,ng/g ww,0.041,mg/kg ww,Fillet+Skin,from EPA 2002,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Alaska,Bering Sea,Aleutian Islands,3,Varies by study,DDTs,22,ng/g ww,0.022,mg/kg ww,Fillet+Skin,from Shaw et al. (2008),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,BC North Coast,30,Varies by study,DDTs,7.3,ng/g ww,0.0073,mg/kg ww,Whole Body,Skeena Population from O'Neill et al (2006),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,6,Varies by study,DDTs,1.5,ng/g ww,0.0015,mg/kg ww,Fillet,Thompson Population from Cullon et al. (2009),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,7,Varies by study,DDTs,7.7,ng/g ww,0.0077,mg/kg ww,Fillet,Thompson Population from Veldhoen et al. (2010),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,2,Varies by study,DDTs,5.5,ng/g ww,0.0055,mg/kg ww,Fillet,Shuswap population from Veldhoen et al. (2010),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,6,Varies by study,DDTs,4.3,ng/g ww,0.0043,mg/kg ww,Fillet,Harrison Population from Cullon et al. (2009),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Puget Sound,36,Varies by study,DDTs,29.1,ng/g ww,0.0291,mg/kg ww,Whole Body,Puget sound mixed from O'Neill et al. (2006),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Coho,Washington,BC/WC,Pudget Sound,266,Varies by study,DDTs,11.7,ng/g ww,0.0117,mg/kg ww,Fillet,Population: Pudget sound mixed from (O'Neill et al (1998)),https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Alaska,AK,NA,2,Varies by study,PBDEs,0.95,ng/g ww,9.50E-04,mg/kg ww,Fillet,from Hayward et al. (2010); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Alaska,Bering Sea,Aleutian Islands,3,Varies by study,PBDEs,0.71,ng/g ww,7.10E-04,mg/kg ww,Fillet+Skin,from Shaw et al. (2008); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,BC North Coast,30,Varies by study,PBDEs,0.08,ng/g ww,8.00E-05,mg/kg ww,Whole Body,Skeena Population from O'Neill et al (2006); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,7,Varies by study,PBDEs,1.54,ng/g ww,0.00154,mg/kg ww,Fillet,Thompson Population from Veldhoen et al. (2010); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,6,Varies by study,PBDEs,17.7,ng/g ww,0.0177,mg/kg ww,Fillet,Harrison Population from Cullon et al. (2009); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,17,Varies by study,PBDEs,3.69,ng/g ww,0.00369,mg/kg ww,Whole Body,from O'Neill et all (2006); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,20,Varies by study,PBDEs,9.77,ng/g ww,0.00977,mg/kg ww,Whole Body,from O'Neill et all (2006); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,4,Varies by study,PBDEs,2.3,ng/g ww,0.0023,mg/kg ww,Whole Body,Fall chinook from (Stone (2006)); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,3,Varies by study,PBDEs,1.8,ng/g ww,0.0018,mg/kg ww,Fillet+Skin,Clackamas River from (Stone (2006)); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,3,Varies by study,PBDEs,1.5,ng/g ww,0.0015,mg/kg ww,Fillet,Clackamas River from (Stone (2006)); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Pudget Sound,34,Varies by study,PBDEs,42.2,ng/g ww,0.0422,mg/kg ww,Whole Body,Population: Pudget Sound Mixed from (O'Neill et al (2006)); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Puget Sound,3,Varies by study,PBDEs,6.43,ng/g ww,0.00643,mg/kg ww,Whole Body,Duwamish River from Cullon et al. (2009); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Puget Sound,36,Varies by study,PBDEs,18.9,ng/g ww,0.0189,mg/kg ww,Whole Body,Puget sound mixed from O'Neill et al. (2006); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Coho,Alaska,AK,NA,2,Varies by study,PBDEs,0.32,ng/g ww,3.20E-04,mg/kg ww,Fillet,from Hayward et al (2009); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2010",Sockeye,Alaska,AK,NA,2,Varies by study,PBDEs,0.21,ng/g ww,2.10E-04,mg/kg ww,Fillet,from Hayward et al. (2007); specific combination of PBDEs varies by study,https://repository.library.noaa.gov/view/noaa/12818,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2011",Chinook,Washington,BC/WC,Puget Sound,28,Varies by study,PCBs,37,ng/g ww,0.037,mg/kg ww,Fillet,from O'Neill and West (2009),NA,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2012",Chinook,Washington,BC/WC,Puget Sound,29,Varies by study,PCBs,40,ng/g ww,0.04,mg/kg ww,Fillet,from O'Neill and West (2009),NA,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2013",Chinook,Washington,BC/WC,Puget Sound,65,Varies by study,PCBs,56,ng/g ww,0.056,mg/kg ww,Fillet,from O'Neill and West (2009),NA,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2014",Chinook,Washington,BC/WC,Puget Sound,20,Varies by study,PCBs,41,ng/g ww,0.041,mg/kg ww,Fillet,from O'Neill and West (2009),NA,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2015",Chinook,Washington,BC/WC,Puget Sound,34,Varies by study,PCBs,59,ng/g ww,0.059,mg/kg ww,Fillet,from O'Neill and West (2009),NA,NA,NA
contaminant,NOAA,2016,"Various, from studies published 1998-2016",Chinook,Washington,BC/WC,Puget Sound,28,Varies by study,PCBs,76,ng/g ww,0.076,mg/kg ww,Fillet,from O'Neill and West (2009),NA,NA,NA
contaminant,San Francisco Estuary Institute,2007,2006,Chinook,California,BC/WC,Sacramento River,1,Individual,Hg,0.094,mg/kg ww,0.094,mg/kg ww,Fillet,NA,https://www.sfei.org/documents/california-bay-delta-authority-fish-mercury-project-year-2-2006-annual-report-sport-fish,NA,NA
contaminant,San Francisco Estuary Institute,2007,2006,Chinook,California,BC/WC,Shasta Lake,10,Individual,Hg,0.3,mg/kg ww,0.3,mg/kg ww,Fillet,NA,https://www.sfei.org/documents/california-bay-delta-authority-fish-mercury-project-year-2-2006-annual-report-sport-fish,NA,NA
contaminant,US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Klickitat River,3,Composite,Hg,0.51,mg/kg ww,0.51,mg/kg ww,Fillet+Skin,NA,https://www.epa.gov/columbiariver/columbia-river-basin-fish-contaminant-survey-1996-1998,NA,NA
contaminant,US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,15,Composite,Hg,0.084,mg/kg ww,0.084,mg/kg ww,Fillet+Skin,NA,https://www.epa.gov/columbiariver/columbia-river-basin-fish-contaminant-survey-1996-1998,NA,NA
contaminant,US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,15,Composite,Hg,0.077,mg/kg ww,0.077,mg/kg ww,Whole Body,NA,https://www.epa.gov/columbiariver/columbia-river-basin-fish-contaminant-survey-1996-1998,NA,NA
contaminant,US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,24,Composite,Hg,0.1,mg/kg ww,0.1,mg/kg ww,Fillet+Skin,NA,https://www.epa.gov/columbiariver/columbia-river-basin-fish-contaminant-survey-1996-1998,NA,NA
contaminant,US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,24,Composite,Hg,0.064,mg/kg ww,0.064,mg/kg ww,Whole Body,NA,https://www.epa.gov/columbiariver/columbia-river-basin-fish-contaminant-survey-1996-1998,NA,NA
contaminant,US EPA,1998,1996-1998,Coho,Washington,BC/WC,Columbia River Basin,3,Composite,Hg,0.12,mg/kg ww,0.12,mg/kg ww,Fillet+Skin,NA,https://www.epa.gov/columbiariver/columbia-river-basin-fish-contaminant-survey-1996-1998,NA,NA
contaminant,US EPA,1998,1996-1998,Coho,Washington,BC/WC,Columbia River Basin,3,Composite,Hg,0.1,mg/kg ww,0.1,mg/kg ww,Whole Body,NA,https://www.epa.gov/columbiariver/columbia-river-basin-fish-contaminant-survey-1996-1998,NA,NA
contaminant,US EPA,2011,NA,Chinook,Washington,BC/WC,NA,116,Individual,Hg,0.09,mg/kg ww,0.09,mg/kg ww,Fillet,Tissue unspecified; assume fillet concentration is the concentration reported,Reported in Karimi et al. (2012)_EPA National Listing of Fish Advisories 2011,NA,NA
contaminant,US EPA,2011,NA,Coho,Washington,BC/WC,NA,167,Individual,Hg,0.046,mg/kg ww,0.046,mg/kg ww,Fillet,Tissue unspecified; assume fillet concentration is the concentration reported,Reported in Karimi et al. (2012)_EPA National Listing of Fish Advisories (accessed 2011),NA,NA
contaminant,US EPA,1998,1996-1998,Coho,Washington,BC/WC,Columbia River Basin,3,Composite,PCBs,38,ug/kg ww,0.038,mg/kg ww,Whole Body,"Aroclor 1016, 1221, 1232, 1242, 1248, 1254, 1260",https://www.epa.gov/columbiariver/columbia-river-basin-fish-contaminant-survey-1996-1998,NA,NA
contaminant,US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,15,Composite,PCBs,40,ug/kg ww,0.04,mg/kg ww,Whole Body,"Aroclor 1016, 1221, 1232, 1242, 1248, 1254, 1260",https://www.epa.gov/columbiariver/columbia-river-basin-fish-contaminant-survey-1996-1998,NA,NA
contaminant,US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,24,Composite,PCBs,40,ug/kg ww,0.04,mg/kg ww,Whole Body,"Aroclor 1016, 1221, 1232, 1242, 1248, 1254, 1260",https://www.epa.gov/columbiariver/columbia-river-basin-fish-contaminant-survey-1996-1998,NA,NA
