Authors,Publication Year,Data Collection Period,Species,Region,Manuscript Region,Specific Location,n,Sample Type,Chemical,FA class,Concentration,Concentration units,Tissue,Notes,DOI or Link,type
AK Dept of Environmental Conservation,2009,NA,Chinook,Alaska,NA,NA,238,Individual,THg,,0.064,mg/kg ww,Fillet,Could be repeated in AK DEC 2020 report; assume fillet concentration is the concentration reported,Reported in Karimi et al. (2012)_State of Alaska Total Mercury Concentrations in Alaskan Fishes 2009,contaminant
AK Dept of Environmental Conservation,2009,NA,Chum,Alaska,NA,NA,281,Individual,THg,,0.041,mg/kg ww,Fillet,Could be repeated in AK DEC 2020 report; assume fillet concentration is the concentration reported,Reported in Karimi et al. (2012)_State of Alaska Total Mercury Concentrations in Alaskan Fishes 2009,contaminant
AK Dept of Environmental Conservation,2009,NA,Coho,Alaska,NA,NA,244,Individual,THg,,0.038,mg/kg ww,Fillet,Could be repeated in AK DEC 2020 report; assume fillet concentration is the concentration reported,Reported in Karimi et al. (2012)_State of Alaska Total Mercury Concentrations in Alaskan Fishes 2009,contaminant
AK Dept of Environmental Conservation,2009,NA,Pink,Alaska,NA,NA,186,Individual,THg,,0.04,mg/kg ww,Fillet,Could be repeated in AK DEC 2020 report; assume fillet concentration is the concentration reported,Reported in Karimi et al. (2012)_State of Alaska Total Mercury Concentrations in Alaskan Fishes 2009,contaminant
AK Dept of Environmental Conservation,2009,NA,Sockeye,Alaska,NA,NA,240,Individual,THg,,0.038,mg/kg ww,Fillet,Could be repeated in AK DEC 2020 report; assume fillet concentration is the concentration reported,Reported in Karimi et al. (2012)_State of Alaska Total Mercury Concentrations in Alaskan Fishes 2009,contaminant
AK Dept of Environmental Conservation,2020,2001-2019,Chum,Alaska,NA,NA,279,Individual,THg,,0.056,mg/kg ww,Fillet,,https://dec.alaska.gov/media/18731/mercury-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2020,2001-2019,Coho,Alaska,NA,NA,325,Individual,THg,,0.036,mg/kg ww,Fillet,,https://dec.alaska.gov/media/18731/mercury-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2020,2001-2019,Coho,Alaska,NA,NA,63,Individual,THg,,0.039,mg/kg ww,Whole Body,,https://dec.alaska.gov/media/18731/mercury-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2020,2001-2019,Coho,Alaska,NA,NA,2,Composite,THg,,0.044,mg/kg ww,Whole Body,,https://dec.alaska.gov/media/18731/mercury-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2020,2001-2019,Chinook,Alaska,NA,NA,241,Individual,THg,,0.039,mg/kg ww,Fillet,,https://dec.alaska.gov/media/18731/mercury-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2020,2001-2019,Chinook,Alaska,NA,NA,16,Individual,THg,,0.078,mg/kg ww,Whole Body,,https://dec.alaska.gov/media/18731/mercury-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2020,2001-2019,Sockeye,Alaska,NA,NA,287,Individual,THg,,0.023,mg/kg ww,Fillet,,https://dec.alaska.gov/media/18731/mercury-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2020,2001-2019,Sockeye,Alaska,NA,NA,56,Individual,THg,,0.058,mg/kg ww,Whole Body,,https://dec.alaska.gov/media/18731/mercury-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2020,2001-2019,Sockeye,Alaska,NA,NA,1,Composite,THg,,0.078,mg/kg ww,Whole Body,,https://dec.alaska.gov/media/18731/mercury-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chum,Alaska,NA,NA,50,Individual,PCBs,,1.88,ng/g ww,Fillet,,https://dec.alaska.gov/media/18734/pcb-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chum,Alaska,NA,NA,2,Individual,PCBs,,2.79,ng/g ww,Whole Body,,https://dec.alaska.gov/media/18734/pcb-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Coho,Alaska,NA,NA,113,Individual,PCBs,,1.37,ng/g ww,Fillet,,https://dec.alaska.gov/media/18734/pcb-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Coho,Alaska,NA,NA,58,Individual,PCBs,,3.66,ng/g ww,Whole Body,,https://dec.alaska.gov/media/18734/pcb-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chinook,Alaska,NA,NA,79,Individual,PCBs,,11.65,ng/g ww,Fillet,,https://dec.alaska.gov/media/18734/pcb-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chinook,Alaska,NA,NA,15,Individual,PCBs,,17.19,ng/g ww,Whole Body,,https://dec.alaska.gov/media/18734/pcb-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Pink,Alaska,NA,NA,33,Individual,PCBs,,1.06,ng/g ww,Fillet,,https://dec.alaska.gov/media/18734/pcb-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,68,Individual,PCBs,,6.56,ng/g ww,Fillet,,https://dec.alaska.gov/media/18734/pcb-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,20,Individual,PCBs,,7.13,ng/g ww,Whole Body,,https://dec.alaska.gov/media/18734/pcb-in-alaska-fish.pdf,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,6,Composite,PCBs,,8.47,ng/g ww,Whole Body,,https://dec.alaska.gov/media/18734/pcb-in-alaska-fish.pdf,contaminant
Bloom,1992,NA,Chinook,Alaska,NA,Store-bought,10,Individual,THg,,0.039,mg/kg ww,Fillet,,10.1139/f92-113,contaminant
Burger et al.,2007,2004-2005,Sockeye,Alaska,Central AK,Aleutian Islands,15,Individual,THg,,0.042,mg/kg ww,Fillet,,10.1016/j.scitotenv.2007.05.004,contaminant
Cullon et al.,2009,2000-2001,Chinook,British Columbia,BC/WC,Johnstone Strait,6,Individual,DDTs,,1.46,ng/g ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1897/08-125.1,contaminant
Cullon et al.,2009,2000-2001,Chinook,British Columbia,BC/WC,Lower Fraser River,6,Individual,DDTs,,4.29,ng/g ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1897/08-125.1,contaminant
Cullon et al.,2009,2000-2001,Chinook,British Columbia,BC/WC,Duwamish River,6,Individual,DDTs,,18.31,ng/g ww,Whole Body,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1897/08-125.1,contaminant
Cullon et al.,2009,2000-2001,Chinook,British Columbia,BC/WC,Lower Fraser River,6,Individual,PBDEs,,17.71,ng/g ww,Fillet,Polybrominated diphenyl ether,10.1897/08-125.1,contaminant
Cullon et al.,2009,2000-2001,Chinook,British Columbia,BC/WC,Duwamish River,6,Individual,PBDEs,,6.43,ng/g ww,Whole Body,Polybrominated diphenyl ether,10.1897/08-125.1,contaminant
Dabeka et al.,2004,2002,Sockeye,Canada,NA,Store-bought,2,Individual,THg,,0.038,mg/kg ww,Fillet,,10.1080/02652030410001670184,contaminant
Dabeka et al.,2004,2002,Chinook,Canada,NA,Store-bought,3,Individual,THg,,0.053,mg/kg ww,Fillet,,10.1080/02652030410001670184,contaminant
Easton et al.,2002,2000,Chinook,Alaska,NA,Store-bought,1,Individual,THg,,0.0559,mg/kg ww,Fillet+Skin,,10.1126/science.1091447,contaminant
Easton et al.,2002,2000,Chum,Alaska,NA,Store-bought,1,Individual,THg,,0.0264,mg/kg ww,Fillet+Skin,,10.1126/science.1091447,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,BC/WC,Store-bought,1,Individual,THg,,0.072,mg/kg ww,Fillet+Skin,,10.1126/science.1091447,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,BC/WC,Store-bought,1,Individual,THg,,0.0436,mg/kg ww,Fillet+Skin,,10.1126/science.1091447,contaminant
Easton et al.,2002,2000,Chinook,Alaska,NA,Store-bought,1,Individual,MeHg,,0.0554,mg/kg ww,Fillet+Skin,,10.1126/science.1091447,contaminant
Easton et al.,2002,2000,Chum,Alaska,NA,Store-bought,1,Individual,MeHg,,0.0262,mg/kg ww,Fillet+Skin,,10.1126/science.1091447,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,BC/WC,Store-bought,1,Individual,MeHg,,0.0713,mg/kg ww,Fillet+Skin,,10.1126/science.1091447,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,BC/WC,Store-bought,1,Individual,MeHg,,0.0432,mg/kg ww,Fillet+Skin,,10.1126/science.1091447,contaminant
Easton et al.,2002,2000,Chinook,Alaska,NA,Store-bought,1,Individual,PCBs,,8.58,ng/g ww,Fillet+Skin,,10.1126/science.1091447,contaminant
Easton et al.,2002,2000,Chum,Alaska,NA,Store-bought,1,Individual,PCBs,,1.88,ng/g ww,Fillet+Skin,,10.1126/science.1091447,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,BC/WC,Store-bought,1,Individual,PCBs,,5.945,ng/g ww,Fillet+Skin,,10.1126/science.1091447,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,BC/WC,Store-bought,1,Individual,PCBs,,4.792,ng/g ww,Fillet+Skin,,10.1126/science.1091447,contaminant
Easton et al.,2002,2000,Chinook,Alaska,NA,Store-bought,1,Individual,DDTs,,8.59,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1016/S0045-6535(01)00136-9,contaminant
Easton et al.,2002,2000,Chum,Alaska,NA,Store-bought,1,Individual,DDTs,,1.7,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1016/S0045-6535(01)00136-9,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,NA,Store-bought,1,Individual,DDTs,,6.7,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1016/S0045-6535(01)00136-9,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,NA,Store-bought,1,Individual,DDTs,,5.57,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1016/S0045-6535(01)00136-9,contaminant
Easton et al.,2002,2000-2001,Chinook,Alaska,NA,Store-bought,1,Individual,PBDEs,,0.485,ng/g ww,Fillet+Skin,Sum of 39 congeners (specific congeners not provided),10.1016/S0045-6535(01)00136-9,contaminant
Easton et al.,2002,2000-2001,Chum,Alaska,NA,Store-bought,1,Individual,PBDEs,,0.039,ng/g ww,Fillet+Skin,Sum of 39 congeners (specific congeners not provided),10.1016/S0045-6535(01)00136-9,contaminant
Easton et al.,2002,2000-2001,Sockeye,British Columbia,NA,Store-bought,1,Individual,PBDEs,,0.095,ng/g ww,Fillet+Skin,Sum of 39 congeners (specific congeners not provided),10.1016/S0045-6535(01)00136-9,contaminant
Easton et al.,2002,2000-2001,Sockeye,British Columbia,NA,Store-bought,1,Individual,PBDEs,,0.093,ng/g ww,Fillet+Skin,Sum of 39 congeners (specific congeners not provided),10.1016/S0045-6535(01)00136-9,contaminant
Hall et al.,1978,1974,Chinook,USA,NA,US Coastline,108,Individual,THg,,0.062,mg/kg ww,Fillet,,https://books.google.com/books?hl=en&lr=&id=fPEGGfLt-xwC&oi=fnd&pg=PA1&dq=hall+et+al.+1978+mercury+fish&ots=zg7HSHCYjw&sig=sFhO5Q5s2Liwfzmu_mdSwxQd2wg#v=onepage&q=hall%20et%20al.%201978%20mercury%20fish&f=false,contaminant
Hall et al.,1978,1974,Chum,USA,NA,US Coastline,55,Individual,THg,,0.044,mg/kg ww,Fillet,,https://books.google.com/books?hl=en&lr=&id=fPEGGfLt-xwC&oi=fnd&pg=PA1&dq=hall+et+al.+1978+mercury+fish&ots=zg7HSHCYjw&sig=sFhO5Q5s2Liwfzmu_mdSwxQd2wg#v=onepage&q=hall%20et%20al.%201978%20mercury%20fish&f=false,contaminant
Hall et al.,1978,1974,Coho,USA,NA,US Coastline,69,Individual,THg,,0.055,mg/kg ww,Fillet,,https://books.google.com/books?hl=en&lr=&id=fPEGGfLt-xwC&oi=fnd&pg=PA1&dq=hall+et+al.+1978+mercury+fish&ots=zg7HSHCYjw&sig=sFhO5Q5s2Liwfzmu_mdSwxQd2wg#v=onepage&q=hall%20et%20al.%201978%20mercury%20fish&f=false,contaminant
Hall et al.,1978,1974,Pink,USA,NA,US Coastline,29,Individual,THg,,0.025,mg/kg ww,Fillet,,https://books.google.com/books?hl=en&lr=&id=fPEGGfLt-xwC&oi=fnd&pg=PA1&dq=hall+et+al.+1978+mercury+fish&ots=zg7HSHCYjw&sig=sFhO5Q5s2Liwfzmu_mdSwxQd2wg#v=onepage&q=hall%20et%20al.%201978%20mercury%20fish&f=false,contaminant
Hall et al.,1978,1974,Sockeye,USA,NA,US Coastline,60,Individual,THg,,0.04,mg/kg ww,Fillet,,https://books.google.com/books?hl=en&lr=&id=fPEGGfLt-xwC&oi=fnd&pg=PA1&dq=hall+et+al.+1978+mercury+fish&ots=zg7HSHCYjw&sig=sFhO5Q5s2Liwfzmu_mdSwxQd2wg#v=onepage&q=hall%20et%20al.%201978%20mercury%20fish&f=false,contaminant
Health Canada,2007,2002-2004,Chinook,Canada,NA,Store-bought,29,Individual,THg,,0.05,mg/kg ww,Fillet,,https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/fn-an/alt_formats/hpfb-dgpsa/pdf/nutrition/merc_fish_poisson-eng.pdf,contaminant
Health Canada,2007,2002-2004,Chum,Canada,NA,Store-bought,18,Individual,THg,,0.02,mg/kg ww,Fillet,,https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/fn-an/alt_formats/hpfb-dgpsa/pdf/nutrition/merc_fish_poisson-eng.pdf,contaminant
Health Canada,2007,2002-2004,Coho,Canada,NA,Store-bought,3,Individual,THg,,0.02,mg/kg ww,Fillet,,https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/fn-an/alt_formats/hpfb-dgpsa/pdf/nutrition/merc_fish_poisson-eng.pdf,contaminant
Health Canada,2007,2002-2004,Pink,Canada,NA,Store-bought,1,Individual,THg,,0.02,mg/kg ww,Fillet,,https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/fn-an/alt_formats/hpfb-dgpsa/pdf/nutrition/merc_fish_poisson-eng.pdf,contaminant
Health Canada,2007,2002-2004,Sockeye,Canada,NA,Store-bought,15,Individual,THg,,0.03,mg/kg ww,Fillet,,https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/fn-an/alt_formats/hpfb-dgpsa/pdf/nutrition/merc_fish_poisson-eng.pdf,contaminant
Hites et al.,2004b,2001-2002,Chinook,Alaska,NA,Store-bought,3,Composite,PBDEs,,0.54,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Chum,Alaska,NA,Store-bought,3,Composite,PBDEs,,0.09,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Coho,Alaska,NA,Store-bought,3,Composite,PBDEs,,0.1,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Pink,Alaska,NA,Store-bought,3,Composite,PBDEs,,0.08,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Sockeye,Alaska,NA,Store-bought,3,Composite,PBDEs,,0.11,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Chum,SE Alaka,NA,Store-bought,3,Composite,PBDEs,,0.31,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Coho,SE Alaka,NA,Store-bought,3,Composite,PBDEs,,0.14,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Pink,SE Alaka,NA,Store-bought,3,Composite,PBDEs,,0.08,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Sockeye,SE Alaka,NA,Store-bought,3,Composite,PBDEs,,0.15,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Chinook,British Columbia,NA,Store-bought,3,Composite,PBDEs,,4.19,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Chum,British Columbia,NA,Store-bought,3,Composite,PBDEs,,0.18,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Coho,British Columbia,NA,Store-bought,3,Composite,PBDEs,,0.32,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Pink,British Columbia,NA,Store-bought,3,Composite,PBDEs,,0.44,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Sockeye,British Columbia,NA,Store-bought,3,Composite,PBDEs,,0.15,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al.,2004b,2001-2002,Chinook,Oregon,NA,Store-bought,3,Composite,PBDEs,,2.14,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",10.1021/es049548m,contaminant
Hites et al. ,2004,NA,Chinook,Alaska,NA,Store-bought,3,Composite,DDTs,,5.3,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Chum,Alaska,NA,Store-bought,3,Composite,DDTs,,1.22,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Coho,Alaska,NA,Store-bought,3,Composite,DDTs,,1.95,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Pink,Alaska,NA,Store-bought,3,Composite,DDTs,,1.42,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
